Job_title,Salary_In_USD,Large_size,Mid_Level,Senior_Level,Exec_Level,Company_Location
Machine Learning Engineer,43331,0,1,0,0,0
Data Scientist,43349,0,1,0,0,0
Data Engineer,43349,0,0,0,0,0
Data Analyst,43349,0,1,0,0,0
BI Data Analyst,45388,1,1,0,0,0
Data Engineer,45390,1,0,0,0,0
Data Engineer,45391,1,1,0,0,0
Machine Learning Engineer,45618,0,0,1,0,0
Data Scientist,45760,0,1,0,0,1
AI Scientist,45896,0,0,0,0,0
Data Analyst,46000,1,0,0,0,1
Machine Learning Engineer,46597,1,1,0,0,0
Data Analyst,46759,1,1,0,0,0
Data Scientist,46809,0,1,0,0,0
Machine Learning Engineer,47282,0,1,0,0,0
Data Scientist,47379,0,0,1,0,0
Data Scientist,47379,0,0,1,0,0
Data Engineer,47379,0,1,0,0,0
Data Engineer,47379,0,1,0,0,0
Data Engineer,47899,1,0,1,0,0
Analytics Engineer,48000,0,1,0,0,0
BI Analyst,48000,0,1,0,0,0
Analytics Engineer,48000,0,0,1,0,1
Data Scientist,48000,0,1,0,0,1
Data Scientist,49268,0,0,0,0,0
Data Engineer,49542,0,0,0,0,0
Data Analyst,49542,0,1,0,0,0
Data Engineer,49542,0,1,0,0,0
Data Engineer,49542,0,0,0,0,0
Data Scientist,49646,0,0,0,0,0
Data Scientist,50000,0,0,1,0,1
Data Engineer,50000,0,0,1,0,1
Data Scientist,50000,0,0,1,0,1
AI Scientist,50000,0,0,0,0,1
Business Data Analyst,50000,1,0,0,0,0
Data Scientist,50000,0,0,0,0,0
Data Analyst,50000,0,0,1,0,0
Data Analyst,50000,1,0,0,0,0
Applied Data Scientist,50000,0,0,0,0,0
Data Analyst,50000,0,1,0,0,1
Data Analyst,50000,0,0,0,0,1
Data Scientist,50000,1,1,0,0,0
Data Analytics Engineer,50000,0,0,1,0,0
Research Scientist,50000,0,0,1,0,1
Machine Learning Infrastructure Engineer,50180,0,1,0,0,0
Data Analyst,50537,0,0,1,0,0
Data Analyst,50537,0,0,1,0,0
Data Analyst,50537,0,0,1,0,0
BI Data Analyst,50537,0,1,0,0,0
Machine Learning Engineer,51064,1,1,0,0,0
Data Scientist,51321,0,0,0,0,0
Data Scientist,51459,1,0,0,0,0
Data Analyst,51519,1,1,0,0,0
Data Analyst,52000,0,0,0,0,0
Data Scientist,52117,0,0,0,0,0
Data Analyst,52500,0,0,1,0,1
Data Analyst,52500,0,1,0,0,1
ETL Developer,52643,0,1,0,0,0
ETL Developer,52643,0,1,0,0,0
Data Engineer,52643,1,1,0,0,0
Data Scientist,53192,1,0,1,0,0
BI Data Analyst,53767,0,1,0,0,0
Data Scientist,53877,1,1,0,0,0
Data Scientist,54000,0,1,0,0,0
Analytics Engineer,54000,0,1,0,0,1
Data Engineer,54000,0,0,1,0,1
Data Science Manager,54094,1,0,1,0,1
Applied Data Scientist,54238,1,1,0,0,0
Data Engineer,54742,1,0,0,0,0
Data Scientist,54749,0,1,0,0,0
Data Scientist,55000,0,0,1,0,1
Data Analyst,55000,0,0,0,0,1
BI Data Analyst,55000,0,0,0,0,1
AI Scientist,55000,1,0,1,0,0
Data Engineer,55591,0,0,0,0,0
Machine Learning Engineer,55734,0,0,0,0,0
Data Engineer,55734,0,1,0,0,0
Machine Learning Infrastructure Engineer,55802,1,1,0,0,0
Lead Data Engineer,56000,0,1,0,0,1
Data Scientist,56256,1,1,0,0,0
Research Scientist,56738,0,1,0,0,0
BI Data Analyst,57000,1,0,0,0,1
Director of Data Science,57908,1,0,1,0,0
Data Analyst,58000,0,1,0,0,1
Data Analyst,58000,0,1,0,0,1
Data Scientist,58000,1,0,0,0,1
Data Scientist,58211,0,1,0,0,0
Data Analyst,59102,0,0,0,0,0
Business Data Analyst,59102,1,0,0,0,0
Data Engineering Manager,59303,0,1,0,0,0
Data Operations Engineer,60000,0,1,0,0,1
NLP Engineer,60000,0,1,0,0,1
Data Operations Engineer,60000,0,1,0,0,1
Data Operations Engineer,60000,0,1,0,0,1
Data Science Engineer,60000,1,0,1,0,0
Data Analyst,60000,0,0,1,0,1
Big Data Engineer,60000,0,1,0,0,0
Data Analyst,60000,0,0,0,0,1
Computer Vision Engineer,60000,0,0,1,0,1
Machine Learning Engineer,60013,1,0,1,0,0
Research Scientist,60757,1,0,1,0,0
Data Scientist,61066,0,1,0,0,0
Data Analyst,61300,0,0,1,0,0
Data Analyst,61300,0,0,1,0,0
Data Scientist,61467,0,1,0,0,0
Finance Data Analyst,61896,1,0,1,0,0
Data Engineer,61927,0,0,0,0,0
Data Analyst,61927,0,0,1,0,0
Lead Data Scientist,61927,0,1,0,0,0
Data Engineer,61927,0,1,0,0,0
Data Scientist,61927,0,1,0,0,0
Data Engineer,61927,0,0,1,0,0
Data Analyst,61927,0,1,0,0,0
Data Analyst,62000,0,1,0,0,1
Data Analyst,62000,1,1,0,0,1
Research Scientist,62119,1,1,0,0,0
Research Scientist,62649,0,1,0,0,0
Data Scientist,62726,0,0,0,0,0
Data Scientist,62726,0,1,0,0,0
ETL Developer,63000,0,0,1,0,1
ETL Developer,63000,0,0,1,0,1
Data Engineer,63000,0,0,1,0,1
Data Engineer,63000,0,0,1,0,1
Analytics Engineer,63000,0,0,1,0,1
Analytics Engineer,63000,0,0,1,0,1
Data Engineer,63000,0,0,1,0,1
ETL Developer,63000,0,0,1,0,1
Data Architect,63000,0,0,1,0,1
Data Engineer,63000,0,0,1,0,1
Data Engineer,63000,0,0,1,0,1
Data Architect,63000,0,0,1,0,1
Data Engineer,63000,0,0,1,0,1
Machine Learning Engineer,63172,0,0,1,0,0
Data Engineer,63172,0,1,0,0,0
Data Engineer,63172,0,1,0,0,0
ML Engineer,63711,0,1,0,0,0
Research Scientist,63810,0,1,0,0,0
Data Science Consultant,63831,1,0,0,0,0
Data Analyst,63831,1,0,1,0,0
Data Engineer,63900,0,1,0,0,1
Data Analyst,64000,1,0,0,0,1
Data Analyst,65000,0,1,0,0,1
Machine Learning Engineer,65000,0,0,1,0,0
Data Engineer,65000,0,0,0,0,1
Data Engineer,65013,0,0,0,0,0
Data Analyst,65161,0,1,0,0,0
Data Engineer,65278,0,1,0,0,0
Data Engineer,65804,0,1,0,0,0
Data Architect,66000,0,0,1,0,1
Data Operations Analyst,66000,0,0,1,0,1
Data Engineer,66022,0,1,0,0,0
Machine Learning Engineer,66265,1,0,1,0,0
Data Analyst,67000,0,0,0,0,0
Data Scientist,68096,0,1,0,0,0
Data Engineer,68120,0,1,0,0,0
Data Engineer,68120,0,1,0,0,0
Data Engineer,68120,0,1,0,0,0
Data Scientist,68120,0,1,0,0,0
Data Analyst,68400,0,0,1,0,1
Data Scientist,68428,1,0,1,0,1
Machine Learning Engineer,68436,0,0,1,0,0
Data Analyst,69000,0,0,1,0,1
Lead Machine Learning Engineer,69489,1,0,1,0,0
Business Data Analyst,69643,1,1,0,0,0
Data Engineer,69741,1,1,0,0,0
Data Science Consultant,69741,0,0,0,1,0
Research Scientist,69999,1,1,0,0,0
Data Operations Engineer,70000,0,0,1,0,1
Data Specialist,70000,0,0,1,0,1
Big Data Engineer,70000,1,0,0,0,1
Computer Vision Software Engineer,70000,0,0,0,0,1
Data Engineer,70139,1,1,0,0,0
Data Engineer,70500,0,0,1,0,1
Data Analyst,71786,0,0,1,0,0
Data Analyst,72000,1,0,0,0,1
Data Engineer,72212,1,1,0,0,0
Data Engineer,72500,1,0,0,0,1
Data Scientist,73000,0,0,0,0,1
Data Scientist,73000,1,1,0,0,1
Data Engineer,73701,0,0,1,0,0
Data Scientist,73701,1,1,0,0,0
Data Engineer,73701,0,1,0,0,0
Data Engineer,73701,0,1,0,0,0
Data Engineer,73701,0,1,0,0,0
